name,url,salary,id
C++ Software Developer,https://hh.ru/vacancy/78578145,250000,78578145
Аналитик данных,https://hh.ru/vacancy/78975822,60000,78975822
Data Scientist (Middle+),https://hh.ru/vacancy/77954455,170000,77954455
Инженер (Python),https://hh.ru/vacancy/77564899,,77564899
Data Scientist,https://hh.ru/vacancy/78961029,160000,78961029
Python Developer,https://hh.ru/vacancy/78820362,200000,78820362
Python Software Developer (AI),https://hh.ru/vacancy/78095330,,78095330
Python - разработчик (Middle) / Программист - Python (Middle),https://hh.ru/vacancy/78346934,,78346934
Middle Python developer,https://hh.ru/vacancy/72687504,150000,72687504
Разработчик Python ( Голосовой ассистент ),https://hh.ru/vacancy/78118811,,78118811
Python developer/QA (middle),https://hh.ru/vacancy/78855173,,78855173
Разработчик автотестов на Python (Automation test engineer Python),https://hh.ru/vacancy/79094239,,79094239
Python-разработчик (Middle),https://hh.ru/vacancy/78086675,,78086675
Python Teamlead,https://hh.ru/vacancy/78988891,250000,78988891
Middle Python разработчик,https://hh.ru/vacancy/77999158,,77999158
"Middle Python разработчик | Алгоритмы обработки raw GNSS observation | RTCM, RTKlib",https://hh.ru/vacancy/78976006,,78976006
Python разработчик (middle+ - senior),https://hh.ru/vacancy/78886285,250000,78886285
Machine Learning Engineer (ML),https://hh.ru/vacancy/78786735,250000,78786735
Senior Python Developer,https://hh.ru/vacancy/78049761,3500,78049761
Python Developer (Middle),https://hh.ru/vacancy/79093820,,79093820
Data analyst,https://hh.ru/vacancy/78784729,,78784729
Разработчик Python,https://hh.ru/vacancy/75553007,,75553007
Стажер машинного обучения,https://hh.ru/vacancy/78846583,,78846583
Инженер-тестировщик (Python),https://hh.ru/vacancy/78901839,,78901839
Senior Python (Django) Backend developer,https://hh.ru/vacancy/78560395,3500,78560395
QA Automation (Python),https://hh.ru/vacancy/79087573,,79087573
Junior Python разработчик,https://hh.ru/vacancy/78636365,50000,78636365
Python developer Blotter History (Cyprus),https://hh.ru/vacancy/78891378,,78891378
Fullstack Developer Python (Middle),https://hh.ru/vacancy/79007167,,79007167
Python/JavaScript разработчик,https://hh.ru/vacancy/78784725,230000,78784725
Python/JavaScript разработчик,https://hh.ru/vacancy/78779176,230000,78779176
Разработчик Python,https://hh.ru/vacancy/78734551,,78734551
Team Lead (Python),https://hh.ru/vacancy/78992103,,78992103
Middle Python Developer,https://hh.ru/vacancy/78907116,,78907116
