name,url,salary,id_vacancy,employer,employer_url,requirement,responsibility
Учитель математики,https://www.superjob.ru/vakansii/uchitel-matematiki-32299181.html,0,32299181,нет данных,нет данных,"Образование: высшее педагогическое / высшее профильное;
Профессиональная категория будет являться преимуществом. 
Высокое знание предмета, подтвержденное независимыми диагностиками;
Опыт достижения высоких результатов обучающихся;
Наличие курсов повышения квалификации по специальности приветствуется;
Владение современными образовательными технологиями, стремление к педагогическому самосовершенствованию.","<b>Обязанности:</b><br /><br />Преподавание предмета в соответствии со ФГОС;<br />результативное участие учеников в проектах, соревнованиях и олимпиадах<br /><br /><b>Требования:</b><br /><br />Образование: высшее педагогическое / высшее профильное;<br />Профессиональная категория будет являться преимуществом. <br />Высокое знание предмета, подтвержденное независимыми диагностиками;<br />Опыт достижения высоких результатов обучающихся;<br />Наличие курсов повышения квалификации по специальности приветствуется;<br />Владение современными образовательными технологиями, стремление к педагогическому самосовершенствованию.<br /><br /><b>Условия:</b><br /><br />Трудоустройство по ТК РФ."
Учитель технологии,https://spb.superjob.ru/vakansii/uchitel-tehnologii-45832023.html,35000,45832023,нет данных,нет данных,"Обязанности:
• Преподавание предмета в 5-8 классах в соответствии с учебными программами. Разделы: кулинария, домоводство. Возможны изменения программы в соответствии с новыми ФГОС. Организация учебного процесса. Проведение проектной и внеурочной деятельности по предмету. Педагогический контроль и оценка освоения образовательной программы в процессе промежуточной и итоговой аттестации.
• классное руководство (по согласованию).
Требования:
• Высшее профессиональное образование.
• При оформлении на работу обязательно наличие медицинской книжки, справки об отсутствии судимости.
• Добросовестность, коммуникабельность, доброжелательность.
• ИКТ-компетентность
Условия:
• нагрузка от 24 ч
• отпуск 56 дней летом
• социальные гарантии в соответствии с законодательством
• отличный педагогический коллектив
Собеседование: детали по договоренности","<p><b>Обязанности:</b></p><ul><li>Преподавание предмета в 5-8 классах в соответствии с учебными программами. Разделы: кулинария, домоводство. Возможны изменения программы в соответствии с новыми ФГОС. Организация учебного процесса. Проведение проектной и внеурочной деятельности по предмету. Педагогический контроль и оценка освоения образовательной программы в процессе промежуточной и итоговой аттестации.</li><li>классное руководство (по согласованию).</li></ul><p><b>Требования:</b></p><ul><li>Высшее профессиональное образование.</li><li>При оформлении на работу обязательно наличие медицинской книжки, справки об отсутствии судимости.</li><li>Добросовестность, коммуникабельность, доброжелательность.</li><li>ИКТ-компетентность</li></ul><p><b>Условия:</b></p><ul><li>нагрузка от 24 ч</li><li>отпуск 56 дней летом</li><li>социальные гарантии в соответствии с законодательством</li><li>отличный педагогический коллектив</li></ul><p>Собеседование: детали по договоренности </p>"
Учитель начальных классов,https://nn.superjob.ru/vakansii/uchitel-nachalnyh-klassov-46068451.html,20000,46068451,нет данных,нет данных,"Обязанности:
• Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.
• Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.
• Работает в экзаменационной комиссии по итоговой аттестации обучающихся.
Требования:
• профильное среднее или высшее образование, студент не ниже 4 курса
Условия:
• работа по расписанию занятий, 5 дней в неделю","<p><b>Обязанности:</b><ul><li>Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.</li><li>Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.</li><li>Работает в экзаменационной комиссии по итоговой аттестации обучающихся.</li></ul><b>Требования:</b><ul><li>профильное среднее или высшее образование, студент не ниже 4 курса</li></ul><b>Условия:</b><ul><li>работа по расписанию занятий, 5 дней в неделю</li></p>"
Учитель начальных классов,https://reutov.superjob.ru/vakansii/uchitel-nachalnyh-klassov-27909832.html,0,27909832,нет данных,нет данных,,
Учитель химии,https://spb.superjob.ru/vakansii/uchitel-himii-31866903.html,0,31866903,нет данных,нет данных,"Обязанности:

Преподавание химии в средних и старших классах гимназии.

Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.
Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.

Требования:

Высшее профессиональное образование, среднее профессиональное образование по направлению подготовки ""Образование и педагогика"" или в области, соответствующей преподаваемому предмету или высшее техническое образование + профессиональная педагогическая подготовка. Владение современными методиками преподавания, уроки по ФГОС. Желательно наличие квалификационной категории.

Условия:

Оформление по ТК, дружный и творческий коллектив, возможность повышения квалификации. Вакансия с 01.09.2023.","<b>Обязанности:</b><br /><br />Преподавание химии в средних и старших классах гимназии.<br /><br />Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.<br />Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.<br /><br /><b>Требования:</b><br /><br />Высшее профессиональное образование, среднее профессиональное образование по направлению подготовки ""Образование и педагогика"" или в области, соответствующей преподаваемому предмету или высшее техническое образование + профессиональная педагогическая подготовка. Владение современными методиками преподавания, уроки по ФГОС. Желательно наличие квалификационной категории.<br /><br /><b>Условия:</b><br /><br />Оформление по ТК, дружный и творческий коллектив, возможность повышения квалификации. Вакансия с 01.09.2023."
Учитель начальных классов,https://krasnogorsk.superjob.ru/vakansii/uchitel-nachalnyh-klassov-30164318.html,0,30164318,нет данных,нет данных,Наличие педагогического образования и категории,"<b>Обязанности:</b><br /><br />Осуществляет обучение и воспитание обучающихся с учетом специфики преподаваемого предмета, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях. Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.<br /><br /><b>Требования:</b><br /><br />Наличие педагогического образования и категории"
Учитель начальных классов,https://nn.superjob.ru/vakansii/uchitel-nachalnyh-klassov-38434779.html,20000,38434779,нет данных,нет данных,"Обязанности:
• Осуществляет обучение и воспитание обучающихся начальной школы, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.
• Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.
Требования:
• высшее педагогическое образование
• квалификация учитель начальных классов, педагогика и методика начального образования","<b>Обязанности:</b><ul><li>Осуществляет обучение и воспитание обучающихся начальной школы, проводит уроки и другие занятия в соответствии с расписанием в указанных помещениях.</li><li>Ведет в установленном порядке учебную документацию, осуществляет текущий контроль успеваемости и посещаемости учащихся на уроках, выставляет текущие оценки в классный журнал и дневники, своевременно сдает администрации необходимые отчетные данные.</li></ul><p>Требования:</p><ul><li>высшее педагогическое образование</li><li>квалификация учитель начальных классов, педагогика и методика начального образования</li></ul><br />"
Учитель физики,https://www.superjob.ru/vakansii/uchitel-fiziki-31159920.html,85000,31159920,нет данных,нет данных,"Обязанности:
 В ТОПовую школу ЦАО на новый учебный год 2023/2024 приглашается учитель физики.
 В Ваши обязанности будет входить следующее:
- Преподавание в профильных классах 
- Подготовка и проведение ГИА
 - Обеспечение эффективности и результативности обучения
- Соблюдение стандартов и методик преподавания 
 - Возможно классное руководство (при желании)


Требования:
 - Профильное педагогическое образование
- Стремление к профессиональному росту, нацеленность на результат
- Профессиональная категория будет являться преимуществом
- Владение инструментами МЭШ
- Наличие диагностики МЦКО - уровень экспертный или высокий
- Наличие справки об отсутствии (наличии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования
- Готовность пройти медицинский осмотр 


Условия:
 - Комфортные условия работы
- Возможности профессионального и личностного развития
- Работа в дружном и творческом коллективе
- График работы: 5\2
- Место работы: г. Москва, ЦАО (м. Проспект Мира)
- Основное место работы, на постоянной основе.
- Условия труда соответствуют требованиям действующего законодательства.","<p><b><br /></b></p><b>Обязанности:</b><br /> 
В ТОПовую школу ЦАО на новый <b>учебный год 2023/2024</b> приглашается <b>учитель физики</b>.<br />  В Ваши обязанности будет входить следующее:<br />- Преподавание в профильных классах <p>- Подготовка и проведение ГИА<br /> - Обеспечение эффективности и результативности обучения</p><p>- Соблюдение стандартов и методик преподавания </p><p> - Возможно классное руководство (при желании)</p><br /><br /><b>Требования:</b><br /> - Профильное педагогическое образование<br />- Стремление к профессиональному росту, нацеленность на результат<br />- Профессиональная категория будет являться преимуществом<br />- Владение инструментами МЭШ<p>- Наличие диагностики МЦКО - уровень экспертный или высокий</p><p>- Наличие справки об отсутствии (наличии) судимости и (или) факта уголовного преследования либо о прекращении уголовного преследования</p><p>- 
Готовность пройти медицинский осмотр

</p><p><br /><br /><b>Условия:</b><br /> - Комфортные условия работы<br />- Возможности профессионального и личностного развития<br />- Работа в дружном и творческом коллективе<br />- График работы: 5\2<br />- Место работы: г. Москва, ЦАО (м. Проспект Мира)<br />- Основное место работы, на постоянной основе.<br />- Условия труда соответствуют требованиям действующего законодательства.  <br /><br /></p>"
Учитель математики,https://spb.superjob.ru/vakansii/uchitel-matematiki-27080790.html,45000,27080790,нет данных,нет данных,"Требования:

С опытом работы в педагогическом учреждении. 

Условия:

Учитель математики на полную занятость. Хороший кабинет, интерактивная доска, проектор, мфу. Дружелюбный, молодой коллектив ждет вас с 1 сентября 203 года","<b>Требования:</b><br /><br />С опытом работы в педагогическом учреждении. <br /><br /><b>Условия:</b><br /><br />Учитель математики на полную занятость. Хороший кабинет, интерактивная доска, проектор, мфу. Дружелюбный, молодой коллектив ждет вас с 1 сентября 203 года"
Учитель информатики,https://spb.superjob.ru/vakansii/uchitel-informatiki-26784515.html,50000,26784515,нет данных,нет данных,"Обязанности:

Преподавание информатики и технологий. Исполнение обязанностей ответственного за внедрение информационных технологий в образовательный процесс 

Требования:

Знание программ общеобразовательной школы, основных программных пакетов, методик преподавания, педагогических основ работы с детьми. Готовность к развитию информационной составляющей образования.

Условия:

6-дневная рабочая неделя (уроки в 5 дней, один день - для методической работы), отпуск-56 календарных дней в летнее время, кабинет. Испытательный срок- 3 месяца. Вакансия открывается с 01.09.2023.","<b>Обязанности:</b><br /><br />Преподавание информатики и технологий. Исполнение обязанностей ответственного за внедрение  информационных технологий в образовательный процесс <br /><br /><b>Требования:</b><br /><br />Знание программ общеобразовательной школы, основных программных пакетов, методик преподавания, педагогических основ работы с детьми. Готовность к развитию информационной составляющей образования.<br /><br /><b>Условия:</b><br /><br />6-дневная рабочая неделя (уроки в 5 дней, один день - для методической работы), отпуск-56 календарных дней в летнее время, кабинет. Испытательный срок- 3 месяца. Вакансия открывается с 01.09.2023."
